Description,AssemblyDescription
"2"" pvc sched 40","2"" CONDUIT - PVC"
pvc conduit 1,"1"" CONDUIT - PVC"
"4"" pvc sch 40","4"" CONDUIT - PVC"
2-STEEL THINWALL CONDUIT,UNK CONDUIT - EMT
"1 ""  PVC SCH 40 (20' Sticks)","1"" CONDUIT - PVC"
"3/4"" PVC Conduit, 10', Schedu","3/4"" CONDUIT - PVC"
"EMT Conduit, 3/4"", Galvanized","3/4"" CONDUIT - EMT"
"1"" Aluminum metal flex 250'","1"" CONDUIT - FLEX"
"1"" Emt","1"" CONDUIT - EMT"
Thomas & Betts XJG38-EMT 1 EMT,"1"" CONDUIT - EMT"
"2 1/2"" sch 40 PVC","2-1/2"" CONDUIT - PVC"
4”Pvc Schl 40,"4"" CONDUIT - PVC"
"2 1/2""  PVC SCH 40","2-1/2"" CONDUIT - PVC"
3/4IN STEEL FLEX UL COND 100F,"3/4"" CONDUIT - FLEX"
"[PVC] 3"", SCHEDULE  40, 10'","3"" CONDUIT - PVC"
1 IN. SCH 40 PVC,"1"" CONDUIT - PVC"
"1/2"" metal flex","1/2"" CONDUIT - FLEX"
"PVC CONDUIT 2"" SCHEDULE-40","2"" CONDUIT - PVC"
"[PVC] 6"", Schedule 40, 10' Sti","6"" CONDUIT - PVC"
"1"" SCHEDULE 40 PVC","1"" CONDUIT - PVC"
PVC4400,UNK CONDUIT - PVC
100' 1'' Rigid conduit,UNK CONDUIT - PVC
"EMT 3"" CONDUIT","3"" CONDUIT - EMT"
"3/4"" ENT ( smurf Tube )","3/4"" CONDUIT - ENT"
3/8 EMT,UNK CONDUIT - EMT
"4"" PVC CONDUIT, 10', SCHEDULE ","4"" CONDUIT - PVC"
1-1/2 Car flex,"1-1/2"" CONDUIT - FLEX"
3/4 SCH 40 PVC,"3/4"" CONDUIT - PVC"
"300' 3/4"" EMT","3/4"" CONDUIT - EMT"
"2"" EMT CONDUIT","2"" CONDUIT - EMT"
"2"" PVC Coated GRC","2"" CONDUIT - GRC"
1-1/4 Scd Pvc,"1-1/4"" CONDUIT - PVC"
3/4” Emt,"3/4"" CONDUIT - EMT"
"3"" metal flex","3"" CONDUIT - FLEX"
"1 1/4"" EMT - 10ft","1-1/4"" CONDUIT - EMT"
"2"" PVC","2"" CONDUIT - PVC"
"1/2 "" EMT","1/2"" CONDUIT - EMT"
"1 1/4"" steel flex","1-1/4"" CONDUIT - FLEX"
"50' - 2"" PVC Sch 40","2"" CONDUIT - PVC"
"1 1/4"" PVC Conduit (10 FT sti","1-1/4"" CONDUIT - PVC"
"Flexible Conduit] Alum 3/4"", ","3/4"" CONDUIT - FLEX"
XENTURY,UNK UNK
"3/4"" PVC( 120- 10 ft sticks) *","3/4"" CONDUIT - PVC"
3/4” Sealtight,"3/4"" CONDUIT - FLEX"
